Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples,
461,11514,0,0,0,143934564,7179248,12918031,0,0,
462,11526,0,0,0,144082627,7186621,12931297,0,0,
463,11546,0,0,0,144352704,7200521,12956309,0,0,
464,11567,0,0,0,144635246,7215398,12983078,0,0,
465,11585,0,0,0,144839330,7225642,13001510,0,0,
466,11596,0,0,0,144961776,7232331,13013546,0,0,
467,11612,0,0,0,145236163,7246893,13039750,0,0,
468,11619,0,0,0,145377769,7253672,13051949,0,0,
469,11628,0,0,0,145445514,7257117,13058146,0,0,
470,11645,0,0,0,145794775,7274572,13089558,0,0,
471,11663,0,0,0,146071482,7288598,13114798,0,0,
472,11680,0,0,0,146192463,7294329,13125107,0,0,
473,11697,0,0,0,146468465,7308312,13150270,0,0,
474,11712,0,0,0,146645021,7317029,13165953,0,0,
475,11729,0,0,0,146882080,7328436,13186476,0,0,
476,11741,0,0,0,147016534,7335116,13198494,0,0,
477,11758,0,0,0,147199404,7344261,13214947,0,0,
478,11774,0,0,0,147492089,7358225,13240075,0,0,
479,11789,0,0,0,147760307,7372194,13265213,0,0,
480,11804,0,0,0,147925678,7380230,13279673,0,0,
481,11818,0,0,0,148062451,7385778,13289653,0,0,
482,11833,0,0,0,148256945,7395665,13307444,0,0,
483,11844,0,0,0,148413967,7403480,13321507,0,0,
484,11855,0,0,0,148507433,7408017,13329669,0,0,
485,11878,0,0,0,148889237,7426736,13363354,0,0,
